Die Mutter erzählt, dass der Junge zu Hause sehr lange Legospielen kann.		Die Ausdauer des Jungen scheint gut zu sein.	
Die Mutter sagt, wenn er etwas gerne mache, mache er es sehr gut.		Der Junge kann sich in eine Aufgabe vertiefen, wenn ihn etwas interessiert.	
Die Mutter sagt, dass der Junge lernen muss zu warten.	Der Junge scheint ungeduldig zu sein.		
Die Mutter sagt, dass er als kleines Kind sehr aktiv war.		Es scheint, als habe sich der Junge gerne bewegt.	
Mit 2-3 Jahren habe er viel Arbeit gegeben, sagt die Mutter und seufzt dabei.	Es wirkt, als wäre die Mutter in der Erziehung an ihre Grenzen gestossen.		
Der Junge schlägt einen Rhythmus während dem Essen, erwähnt die Mutter.		Es scheint, als habe der Junge Freude an Rhythmen.	
Die Mutter macht mit dem Kind einen Belohnungsplan.		Die Mutter möchte dem Kind helfen.	
Der Junge sei motiviert, wenn es darum geht etwas zu gewinnen.		Der Junge ist zu begeistern, wenn es darum geht etwas zu gewinnen.	
Beim Legospiel könne er die Anleitung folgen.		Die Handlungsplanung fällt ihm einfach.	
Der Junge könne aber auch alleine etwas bauen.		Der Junge ist kreativ.	
Der Junge möchte die Hausaufgaben möglichst schnell erledigen, um anschliessend spielen gehen zu können.	Der Junge zeigt kein Interesse an Hausaufgaben. 		
			Der Junge zieht das Spielen den Hausaufgaben vor.
Die Mutter erzählt, dass ihnen das Verhalten vom Jungen Sorgen gemacht habe.		Die Eltern kümmern sich um den Jungen und können ihn gut wahrnehmen.	
